scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label,source_file
64,1779169516.025,0,0.6711,0.5542,0.1029,0.0,244,0,0.3933,1,0.0,WAIT,interaction_green.csv
64,1779169516.025,1,0.4672,0.2472,0.228,2.397,16,0,0.0575,1,0.0,ASK,interaction_green.csv
64,1779169516.025,2,0.343,0.9583,0.245,1035.27,0,0,0.7744,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
65,1779169516.589,0,0.6711,0.5542,0.1012,0.0,248,0,0.3933,1,0.0,WAIT,interaction_green.csv
65,1779169516.589,1,0.4742,0.2486,0.2233,2.961,16,0,0.055,1,0.0,ASK,interaction_green.csv
65,1779169516.589,2,0.3422,0.9597,0.2477,1035.834,0,0,0.7759,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
66,1779169517.166,0,0.6711,0.5542,0.1024,0.0,252,0,0.3933,1,0.0,WAIT,interaction_green.csv
66,1779169517.166,1,0.4734,0.25,0.2225,3.537,16,0,0.0566,1,0.0,ASK,interaction_green.csv
66,1779169517.166,2,0.3406,0.9611,0.2481,1036.411,0,0,0.7776,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
67,1779169517.725,0,0.6711,0.5542,0.1026,0.0,256,0,0.3933,1,0.0,WAIT,interaction_green.csv
67,1779169517.725,1,0.4703,0.225,0.2339,4.097,16,0,0.0388,1,0.0,ASK,interaction_green.csv
67,1779169517.725,2,0.3414,0.9597,0.247,1036.97,0,0,0.7761,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
68,1779169518.297,0,0.6711,0.5542,0.1026,0.0,260,0,0.3933,1,0.0,WAIT,interaction_green.csv
68,1779169518.297,1,0.4688,0.2403,0.2275,4.668,16,0,0.051,1,0.0,ASK,interaction_green.csv
68,1779169518.297,2,0.3438,0.9597,0.2453,1037.542,0,0,0.7756,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
69,1779169518.861,0,0.6711,0.5542,0.1026,0.0,264,0,0.3933,1,0.0,WAIT,interaction_green.csv
69,1779169518.861,1,0.4758,0.2556,0.2183,5.233,16,0,0.0606,1,0.0,ASK,interaction_green.csv
69,1779169518.861,2,0.3406,0.9569,0.2467,1038.106,0,0,0.7735,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
70,1779169519.438,0,0.6711,0.5542,0.1037,0.0,268,0,0.3933,1,0.0,WAIT,interaction_green.csv
70,1779169519.438,1,0.4719,0.2375,0.2272,5.809,16,0,0.0469,1,0.0,ASK,interaction_green.csv
70,1779169519.438,2,0.3414,0.9597,0.2459,1038.683,0,0,0.7761,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
71,1779169519.999,0,0.6711,0.5542,0.1047,0.0,272,0,0.3933,1,0.0,WAIT,interaction_green.csv
